judul_film,tahun_rilis,sutradara
Virgin 2: Bukan Film Porno,2009,Nayato Fio Nuala
Macabre,2009,Kimo Stamboel
Chased by Satan,2009,Harry Suharyadi
Hantu Rumah Ampera,2009,Rudy Soedjarwo
King,2009,Ari Sihasale
Paku Kuntilanak,2009,Findo Purwono
Punk in Love,2009,Ody C. Harahap
The Tarix Jabrix 2,2009,Iqbal Rais
Krazy Crazy Krezy...,2009,Rako Prijanto
Kutukan Suster Ngesot,2009,David Purnomo
Mau Dong... Ah,2009,Christian Pauli
Preman in Love,2009,Rako Prijanto
The Maling Kuburans,2009,Dwi Ilalang
Darah Perawan Bulan Madu,2009,Hartawan Triguna
Identitas,2009,Aria Kusumadewa
Kata Maaf Terakhir,2009,Maruli Ara
Keramat,2009,Monty Tiwa
Cin(T)a,2009,Sammaria Simanjuntak
When Love Hymn 2,2009,Chaerul Umam
Maling Kutang,2009,Rako Prijanto
Pocong Jalan Blora,2009,Nayato Fio Nuala
The Police,2009,A. Leung Wong
Kembang perawan,2009,Joko Nugroho
Get Married 2,2009,Hanung Bramantyo
Nazar,2009,Sofyan D. Surza
Perjaka Terakhir,2009,Arie Azis
Putih Abu-Abu dan Sepatu Kets,2009,Nayato Fio Nuala
Selendang Rocker,2009,Awi Suryadi
Serigala Terakhir,2009,Upi Avianto
Ai Lop Yu Pul,2009,Winaldha E. Melalatoa
Air Terjun Pengantin,2009,Rizal Mantovani
Emak Ingin Naik Haji,2009,Aditya Gumay
Heart-Break.com,2009,Affandi Abdul Rachman
Jeritan Kuntilanak,2009,Nayato Fio Nuala
Ruma Maida,2009,Teddy Soeriaatmadja
Hantu Binal Jembatan Semanggi,2009,Gunung Nusa Pelita
Bukan Malin Kundang,2009,Iqbal Rais
Mata pena mata hati Raja Ali Haji,2009,Gunawan Paggaru
The Dreamer,2009,Riri Riza
XXL: Double Extra Large,2009,Ivander Tedjasukmana
Suster Keramas,2009,Helfi C.H. Kardit
Di Atas Kanvas Cinta,2009,Damien Dematra
Perampok ulung,2009,Marjito Iskandar Tri Gunawan
Dikejar Setan:Chased by Satan,2009,Harry Suharyadi
Days for Amanda,2010,Angga Dwimas Sasongko
Di Dasar Segalanya,2010,Paul Agusta
18+: True Love Never Dies,2010,Nayato Fio Nuala
Hantu Puncak Datang Bulan,2010,Steady Rimba
Jinx,2010,Muhammad Yusuf
Arisan Brondong,2010,Helfi C.H. Kardit
Bidadari Jakarta,2010,Nanang Istiabudi
Jejak Darah,2010,Nur Hidayat
Love in Perth,2010,Findo Purwono
Ngebut Kawin,2010,Guntur Soeharjanto
Red and White II: Blood of Eagles,2010,Conor Allyn
Affair,2010,Nayato Fio Nuala
Bahwa cinta itu ada,2010,Sujiwo Tejo
Belum Cukup Umur,2010,Nayato Fio Nuala
Di bawah langit,2010,Opick
Raped by Saitan (Diperkosa Setan),2010,Petruska Karangan
Bebek Belur,2010,Adrianto Sinaga
Cinta 2 Hati,2010,Benni Setiawan
Dendam Pocong Mupeng,2010,Steady Rimba
Kain Kafan Perawan,2010,Nayato Fio Nuala
Love and Edelweiss,2010,Anto Tanjung
Pemburu Hantu: The Movie,2010,Alamsyah
SKJ: Seleb Kota Jogja,2010,Lakonde
Sst... Jadikan Aku Simpanan,2010,Hanny Saputra
Te[rekam],2010,Nayato Fio Nuala
The God Babe,2010,Arie Azis
The Sexy City,2010,Helfi C.H. Kardit
Tiran: Mati di Ranjang,2010,Arie Azis
Toilet 105,2010,Hartawan Triguna
Menculik Miyabi,2010,Findo Purwono
Taring,2010,Rizal Mantovani
Akibat Pergaulan Bebas,2010,Nayato Fio Nuala
Alangkah Lucunya (Negeri Ini),2010,Deddy Mizwar
Demi Dewi,2010,Charles Gozali
Menebus Impian,2010,Hanung Bramantyo
Ratu KostMopolitan,2010,Ody C. Harahap
Roman Picisan,2010,Rako Prijanto
Tanah Air Beta,2010,Ari Sihasale
Sunday Morning in Victoria Park,2010,Lola Amaria
Obama Anak Menteng,2010,John de Rantau
"3 Hati, Dua Dunia, Satu Cinta",2010,Benni Setiawan
Not for Sale,2010,Nayato Fio Nuala
Pocong Keliling,2010,Viva Westi
Red CobeX,2010,Upi Avianto
Istri Bo'ongan,2010,Arie Azis
Laskar cilik,2010,Subakti Is
Melodi,2010,Harry Suharyadi
Rayuan Arwah Penasaran,2010,Ferry Ipey Assad
Sehidup (Tak) Semati,2010,Iqbal Rais
D'Love,2010,Helfi C.H. Kardit
I Know What You Did on Facebook,2010,Awi Suryadi
Nakalnya Anak Muda,2010,Nayato Fio Nuala
Pengantin Topeng,2010,Awi Suryadi
Dawai 2 Asmara,2010,Asep Kusdinar
Selimut Berdarah,2010,Ferry Ipey Assad
Time,2010,Toto Hoedi
Laskar Pemimpi,2010,Monty Tiwa
"Lihat Boleh, Pegang Jangan",2010,Findo Purwono
Pengantin Pantai Biru,2010,Nayato Fio Nuala
Perjaka Terakhir 2,2010,Jacky
Pocong Jumat Kliwon,2010,Nayato Fio Nuala
Rintihan Kuntilanak Perawan,2010,Yoyok Subagyo
Sang Pencerah,2010,Hanung Bramantyo
Satu Jam Saja,2010,Ario Rubbik
Sweetheart,2010,Hanny Saputra
Madame X,2010,Lucky Kuswandi
Aku atau Dia?,2010,Affandi Abdul Rachman
Gaby dan Lagunya,2010,Nayato Fio Nuala
Heart 2 Heart,2010,Nayato Fio Nuala
Mafia Insyaf,2010,Otoy Witoyo
Rokkap,2010,Hendra Arifin Hutapea
Senggol Bacok,2010,Iqbal Rais
Horror in Facebook,2010,Helfi C.H. Kardit
Hantu Tanah Kusir,2010,Findo Purwono
London Virginia,2010,Cheverly Amalia
Pengakuan Seorang Pelacur,2010,Andrew Timothy
Pengantin Sunat,2010,Rako Prijanto
Susah Jaga Keperawanan di Jakarta,2010,Joko Nugroho
3 Pejantan Tanggung,2010,Iqbal Rais
"Cin... Tetangga Gue, Kuntilanak!",2010,Yan Senjaya
In the Niche of Love,2010,Habiburrahman El Shirazy
Kabayan Jadi Milyuner,2010,Guntur Soeharjanto
Pocong Rumah Angker,2010,Nayato Fio Nuala
Jakarta Twilight,2010,Salman Aristo
Pliss Deh Jangan Lebay,2010,Thaleb Wirachman
"7 Hati, 7 Cinta, 7 Wanita",2010,Robby Ertanto
Sarinah,2011,Karr Kwee
Anakluh,2011,Edward Sirait
Baik-Baik Sayang,2011,Somad Sutedja
Khalifah,2011,Nurman Hakim
Cewek Gokil,2011,Rizal Mantovani
Pelukan Janda Hantu Gerondong,2011,Helfi C.H. Kardit
Love Story,2011,Hanny Saputra
Arwah Goyang Karawang,2011,Helfi C.H. Kardit
Jenglot Pantai Selatan,2011,Rizal Mantovani
Rindu purnama,2011,Mathias Muchus
Badai di Ujung Negeri,2011,Agung Sentausa
The Raid: Redemption,2011,Gareth Evans
Belkibolang,2011,Edwin
Cewek Saweran,2011,Eddie Cahyono
Dedemit Gunung Kidul,2011,Yoyok Subagyo
Lost in Papua,2011,Irham Acho Bahtiar
Misteri Hantu Selular,2011,Indra Tirtana
Oh Tidak..!,2011,Ardy Octaviand
Pocong Ngesot,2011,Nayato Fio Nuala
The House Without a Window,2011,Aditya Gumay
Skandal,2011,Jose Poernomo
Tebus,2011,Muhammad Yusuf
Virgin 3: Satu Malam Mengubah Segalanya,2011,Nayato Fio Nuala
The Mirror Never Lies,2011,Kamila Andini
Red and White III: Hearts of Freedom,2011,Conor Allyn
13 Cara Memanggil Setan,2011,A. Liong Wong
Question Mark,2011,Hanung Bramantyo
Kuntilanak Kesurupan,2011,Nayato Fio Nuala
Ghost Shower Rocking Hips,2011,Yoyok Subagyo
Si Anak Kampoeng,2011,Damien Dematra
Suster Keramas 2,2011,Findo Purwono
Si Anak Kampoeng (the Village Boy),2011,Damien Dematra
L4 Lupus,2011,Damien Dematra
Lima Elang,2011,Rudy Soedjarwo
Garuda di Dadaku 2,2011,Rudy Soedjarwo
The Dancer,2011,Ifa Isfansyah
"Mama, Aku Harus Pergi",2011,Natasha Dematra
Catatan (Harian) Si Boy,2011,Putrama Tuta
Akibat Pergaulan Bebas 2,2011,Findo Purwono
Batas,2011,Rudy Soedjarwo
Cowok Bikin Pusing,2011,Winalda E.
Under the Protection of Ka'bah,2011,Hanny Saputra
Pupus,2011,Rizal Mantovani
Purple Love,2011,Guntur Soeharjanto
Ada Apa dengan Pocong?,2011,Nayato Fio Nuala
Kentut,2011,Aria Kusumadewa
Milli & Nathan,2011,Hanny Saputra
Pelet Kuntilanak,2011,Nayato Fio Nuala
The Beetle Soldiers,2011,Ari Sihasale
The Tarix Jabrix 3,2011,Iqbal Rais
Dilema,2011,Adilla Dimitri
Lovely Man,2011,Teddy Soeriaatmadja
The Mentalist,2011,Walmer Sitohang
Get Married 3,2011,Monty Tiwa
Kejarlah Jodoh Kau Kutangkap,2011,Indrayanto Kurniawan
Kepergok Pocong,2011,Nayato Fio Nuala
Diaries of Letters to God,2011,Harris Nizam
A Kick from the Sky,2011,Hanung Bramantyo
True Love,2011,Dedi Setiadi
Tumbal Jailangkung,2011,Nayato Fio Nuala
The Gathering! 2,2011,Nia Di Nata
Keranda Kuntilanak,2011,Nayato Fio Nuala
Masih Bukan Cinta Biasa,2011,Benni Setiawan
Mati Muda di Pelukan Janda,2011,Helfi C.H. Kardit
Tarung: City of the Darkness,2011,Nayato Fio Nuala
Arwah Kuntilanak Duyung,2011,Yoyok Subagyo
"Dad, Why Am I Different?",2011,Findo Purwono
Bukan Pocong Biasa,2011,Nayato Fio Nuala
Euphoria,2011,Pandu Birantoro
Hafalan Shalat Delisa,2011,Soni Gaokasak
Kalung Jailangkung,2011,Nayato Fio Nuala
Kehormatan di Balik Kerudung,2011,Tya Subiakto Satrio
Langit Biru,2011,Lasja Fauzia
Mudik lebaran,2011,Muchyar Syamas
My Blackberry Girlfriend,2011,Findo Purwono
Pacar Hantu Perawan,2011,Yoyok Subagyo
Pengejar Angin,2011,Hanung Bramantyo
Perempuan² Liar,2011,Rako Prijanto
Pocong Kesetanan!,2011,Nayato Fio Nuala
Pocong Minta Kawin,2011,Nayato Fio Nuala
Poconggg Juga Pocong,2011,Nayato Fio Nuala
Sajadah Ka'bah,2011,Rhoma Irama
Semesta Mendukung,2011,John de Rantau
Setannya Kok Masih Ada,2011,Muchyar Syamas
The Perfect House,2011,Affandi Abdul Rachman
X - The Last Moment,2011,Bambi Martantio
Anjing Hutan,2011,Pandu Adjisurya
Laskar anak Palau,2011,Aris Satra
18++: Forever Love,2012,Nayato Fio Nuala
Penganten Pocong,2012,Arie Azis
Potong Bebek Angsa,2012,Alyandra
Mama Minta Pulsa,2012,Nuri Dahlia
Postcards from the Zoo,2012,Edwin
Pulau Hantu 3,2012,Jose Poernomo
Ummi Aminah,2012,Aditya Gumay
Xia aimei,2012,Alyandra
My Last Love,2012,Nayato Fio Nuala
Kafan Sundel Bolong,2012,Yoyok Subagyo
Mother Keder: Emakku Ajaib Bener,2012,Eko Nobel
"Sule, Ay Need You",2012,Cuk Fk
Parts of the Heart,2012,Paul Agusta
3 Pocong Idiot,2012,Nayato Fio Nuala
"Bring Me the Moon, Mom",2012,Ifa Isfansyah
Bila,2012,Nayato Fio Nuala
BrokenHearts,2012,Helfi C.H. Kardit
Cinta di Saku Celana,2012,Fajar Nugros
Di Timur Matahari,2012,Ari Sihasale
Negeri 5 Menara,2012,Affandi Abdul Rachman
An Angel Without Wings,2012,Rako Prijanto
Republic of Twitter,2012,Kuntz Agus
Rumah Hantu Pasar Malam,2012,Arie Azis
Soegija,2012,Garin Nugroho
Seandainya,2012,Nayato Fio Nuala
Keumala,2012,Andi Pulung Waluyo
Santet Kuntilanak,2012,Nayato Fio Nuala
Hi5teria,2012,Harvan Agustriansyah
Cherrybelle: Love Is U,2012,Hanny Saputra
Bangkit dari Kubur,2012,Nayato Fio Nuala
The Blindfold,2012,Garin Nugroho
Enak Sama Enak,2012,Nayato Fio Nuala
Kung Fu Pocong Perawan,2012,Yoyok Subagyo
Sanubari Jakarta,2012,Lola Amaria
Kuntilanak-Kuntilanak,2012,Nayato Fio Nuala
Nenek Gayung,2012,Nuri Dahlia
Peculiar Vacation and Other Illnesses,2012,Yosep Anggi Noen
Jenderal Kancil: The Movie,2012,Harry Suharyadi
Brandal-Brandal Ciliwung,2012,Guntur Soeharjanto
Tanah Surga... Katanya,2012,Herwin Novianto
Paper Boat,2012,Hanung Bramantyo
Kakek Cangkul,2012,Nuri Dahlia
Hattrick,2012,Robert Ronny
Rumah Bekas Kuburan,2012,Irwan Siregar
Sampai Ujung Dunia,2012,Monty Tiwa
Belenggu,2012,Upi Avianto
Rumah di Seribu Ombak,2012,Erwin Arnada
Petualangan Singa Pemberani,2012,Lee Croudy
Test Pack,2012,Monty Tiwa
Mama Cake,2012,Anggy Umbara
Radio Galau FM,2012,Iqbal Rais
Fallin' in Love,2012,Findo Purwono
"Rayya, Cahaya di Atas Cahaya",2012,Viva Westi
Kutukan Arwah Santet,2012,Hanny Mustofa
Misteri Pasar Kaget,2012,Wimbadi J.P.
Rumah Kentang,2012,Jose Poernomo
Loe Gue End,2012,Awi Suryadi
Atambua 39° Celsius,2012,Riri Riza
Rumah dan Musim Hujan,2012,Ifa Isfansyah
Nagasari,2012,Christopher Hanno
Habibie & Ainun,2012,Faozan Rizal
Paper Boat 2,2012,Hanung Bramantyo
Bangkitnya Suster Gepeng,2012,K. Team
Stepping on the Flying Grass,2012,Eugene Panji
Pacarku Kuntilanak Kembar,2012,Nuri Dahlia
Tali Pocong Perawan 2,2012,Volkan Maida
5 cm,2012,Rizal Mantovani
Dendam dari Kuburan,2012,Nayato Fio Nuala
Bidadari-Bidadari Surga,2012,Soni Gaokasak
Pasukan Kapiten,2012,Rudy Soedjarwo
Hello Goodbye,2012,Titien Wattimena
Cinta Tapi Beda,2012,Hanung Bramantyo
Cinta Suci Zahrana,2012,Chaerul Umam
The House at a Thousand Waves,2012,Erwin Arnada
I Love You Masbro,2012,Raymond Handaya
Toilet Blues,2012,Dirmawan Hatta
Sang Martir,2012,Helfi C.H. Kardit
Demi Ucok,2012,Sammaria Simanjuntak
Langit Ke-7,2012,Rudy Soedjarwo
Hati Ke Hati,2013,Reka Wijaya
Mengejar Setan,2013,Nayato Fio Nuala
Make Money,2013,Sean Monteiro
Bangkit dari Lumpur,2013,Irwan Ibon Baihaki
Slank Nggak Ada Matinya,2013,Fajar Bustomi
Taman Lawang,2013,Aditya Gumay
3 Cewek Petualang,2013,Chiska Doppert
Kerasukan,2013,Chiska Doppert
Isyarat,2013,Adhyatmika
Di Sini Ada Yang Mati,2013,Nayato Fio Nuala
Nightmare Side,2013,Intan Rizky Mutiaz
Adriana,2013,Fajar Nugros
The Grudge of Rell Bintaro's Soul,2013,Wisnu Kuncoro
Innocence,2013,Hilary Brougher
Go Eight,2013,Andibachtiar Yusuf
Sang Pialang,2013,Asad Amar
What They Don't Talk About When They Talk About Love,2013,Mouly Surya
Something in the Way,2013,Teddy Soeriaatmadja
Mika,2013,Lasja Fauzia
Air Terjun Pengantin Phuket,2013,Rizal Mantovani
True Heart,2013,Ismail Sofyan Sani
Rectoverso,2013,Olga Lydia
Operation Wedding,2013,Monty Tiwa
Cipularang's Mystery,2013,Dede Ferdinand
The Empire's Throne,2013,Nirattisai Kaljareuk
Sule Detektif Tokek,2013,Reka Wijaya
Hasduk Berpola,2013,Harris Nizam
KM 97,2013,Jose Poernomo
Madre,2013,Benni Setiawan
Tampan Tailor,2013,Guntur Soeharjanto
Bangun Lagi Dong Lupus,2013,Benni Setiawan
Pokun Roxy,2013,Boy Rano
Finding Srimulat,2013,Charles Gozali
Mursala,2013,Viva Westi
Kisah 3 Titik,2013,Bobby Prabowo
Someone's Wife in the Boat of Someone's Husband,2013,Edwin
308,2013,Jose Poernomo
The Robbers,2013,Hanung Bramantyo
Cinta Brontosaurus,2013,Fajar Nugros
Kembalinya Nenek Gayung,2013,Shakuntala
Coboy Junior: The Movie,2013,Anggy Umbara
The Clerics,2013,Rako Prijanto
Cinta Dalam Kardus,2013,Salman Aristo
Cinta dari Wamena,2013,Lasja Fauzia
Jokowi,2013,Azhar Kinoi Lubis
Soekarno,2013,Hanung Bramantyo
Bismillah Aku Mencintaimu,2013,Asep Kusdinar
La tahzan,2013,Danial Rifki
Berlian Si Etty,2013,Dimas Adi Pratama
"Hope God Loves You, Mom",2013,Jose Poernomo
Romantini,2013,Monty Tiwa
Get M4rried,2013,Monty Tiwa
Wanita Tetap Wanita,2013,Irwansyah
Tiga sekawan: Iiih... hantu...!,2013,Ivan Alvameiz
The Legend of Trio Macan,2013,Billy Christian
Tak Sempurna,2013,Herman Panca
Rocket Rain,2013,Anggun Priambodo
Optatissimus,2013,Dirmawan Hatta
Leher Angsa,2013,Ari Sihasale
Half Past Love,2013,Ody C. Harahap
Refrain,2013,Fajar Nugros
Sokola Rimba,2013,Riri Riza
Salisiah Adaik,2013,Ferdinand Almi
99 Cahaya di Langit Eropa,2013,Guntur Soeharjanto
Manusia Setengah Salmon,2013,Herdanius Larobu
Kemasukan Setan,2013,Muhammad Yusuf
Laura & Marsha,2013,Dinna Jasanti
Air Mata Terakhir Bunda,2013,Endri Pelita
Honeymoon,2013,Findo Purwono
Crazy Love,2013,Guntur Soeharjanto
Mantan Terindah,2014,Farishad I. Latjuba
7 Misi Rahasia Sophie,2014,Billy Christian
Hantu Pohon Boneka,2014,Nayato Fio Nuala
Tumbal 97,2014,Hanny Mustofa
Bajaj Bajuri the Movie,2014,Fajar Nugros
Kamar 207,2014,Chiska Doppert
After School Horror,2014,Nayato Fio Nuala
17 Tahun Ke Atas,2014,Nayato Fio Nuala
Hantu Merah Casablanca,2014,Dedy Mercy
Para Pemburu Gajah,2014,Hermawan Rianto
The Raid 2,2014,Gareth Evans
Legend of the East,2014,Nirattisai Kaljareuk
12 Menit,2014,Hanny Saputra
"The Sun, the Moon, & the Hurricane",2014,Andri Cung
Cherrybelle: Crush,2014,Rizal Mantovani
Suka-Suka Super 7: Habis Gelap Menuju Terang,2014,Geri Busye
Comic 8,2014,Anggy Umbara
Lembur,2014,Hanny Mustofa
Street Society,2014,Awi Suryadi
2014,2014,Hanung Bramantyo
Oo Nina Bobo,2014,Jose Poernomo
3 Nafas Likas,2014,Rako Prijanto
Mall Klender,2014,David Purnomo
Tabula Rasa,2014,Adriyanto Dewo
Hijabers in Love,2014,Ario Rubbik
In the Absence of the Sun,2014,Lucky Kuswandi
We Are Moluccans,2014,Angga Dwimas Sasongko
Mari Lari,2014,Delon Tio
Hijrah Cinta,2014,Alfie Alfandi
Rumah Gurita,2014,Jose Poernomo
Siti,2014,Eddie Cahyono
Supernova,2014,Rizal Mantovani
Golden Cane Warrior,2014,Ifa Isfansyah
7 Hari 24 Jam,2014,Fajar Nugros
Runaway,2014,Guntur Soeharjanto
I You & KUA,2014,Monty Tiwa
Unlimited Love,2014,Haryanto Corakh
3600 Detik,2014,Nayato Fio Nuala
Ma'rifat Cinta,2014,Fernes Feriana
Mentari Dari Kurau,2014,Revo Rurut
Merry Riana: Mimpi Sejuta Dolar,2014,Hestu Saputra
Tak Kemal Maka Tak Sayang,2014,Fajar Bustomi
Angker,2014,Muhammad Yusuf
Pink Guinea Pig,2014,Raditya Dika
Assalamualaikum Beijing,2014,Guntur Soeharjanto
My Idiot Brother,2014,Alyandra
Remember When,2014,Fajar Bustomi
Kukejar Cinta ke Negeri Cina,2014,Fajar Bustomi
Seputih Cinta Melati,2014,Ari Sihasale
Strawberry Surprise,2014,Hanny Saputra
Danau Hitam,2014,Jose Poernomo
Negeri Tanpa Telinga,2014,Lola Amaria
Viva JKT48,2014,Awi Suryadi
Haji Backpacker,2014,Danial Rifki
Olga & Billy Lost in Singapore,2014,Ronny Mepet
Malam Minggu Miko Movie,2014,Raditya Dika
99 Cahaya di Langit Eropa Part 2,2014,Guntur Soeharjanto
Jokowi Adalah Kita,2014,Ronny Mepet
Erau Kota Raja,2015,Bambang Drias
Takut: Tujuh Hari Bersama Setan,2015,Nayato Fio Nuala
Palasik,2015,Dedy Mercy
Penghuni Lain,2015,Roman Malik
Tes Nyali,2015,Vijei Alfajr
Catatan Akhir Kuliah,2015,Jay Sukmo
LDR,2015,Guntur Soeharjanto
LDR 2: Where Is My Romeo,2015,Guntur Soeharjanto
Three Ladies,2015,Ardy Octaviand
99% Muhrim: Get Married 5,2015,Fajar Bustomi
Air Mata Surga,2015,Hestu Saputra
Si Jago Merah 2: Air & Api,2015,Raymond Handaya
Komedi Moderen Gokil,2015,Cuk Fk
Horror House,2015,Nayato Fio Nuala
Bidadari Terakhir,2015,Awi Suryadi
Miracle: Jatuh dari Surga,2015,Wisnu Adi
Hagesu (Hantu Gendong Susu),2015,Dedy Mercy
Kastil Tua,2015,Chiska Doppert
Dejavu: Ajian Puter Giling,2015,Hanny Saputra
Kesurupan Jumat Kliwon,2015,George Hutabarat
Relationshit,2015,Herdanius Larobu
Youtubers,2015,Jovial Da Lopez
Anak Kos Dodol,2015,Eman Pradipta
Cabe-Cabean,2015,Endri Pelita
November Tenth,2015,Aryanto Yuniawan
Sagarmatha,2015,Emil Heradi
Midnight,2015,Cuk Fk
Love & Faith,2015,Benni Setiawan
Pizza Man,2015,Ceppy Gober
When Will You Get Married?,2015,Ody C. Harahap
Tuyul: Part 1,2015,Billy Christian
Tarot,2015,Jose Poernomo
From Seoul to Jakarta,2015,Damien Dematra
Negeri Van Oranje,2015,Endri Pelita
Filosofi Kopi,2015,Angga Dwimas Sasongko
Another Trip to the Moon,2015,Ismail Basbeth
Jakarta Ghost Seeker,2015,Rico M. Bradley
Wewe,2015,Rizal Mantovani
Guru Bangsa Tjokroaminoto,2015,Garin Nugroho
Mencari Hilal,2015,Ismail Basbeth
Clown of the Dead,2015,Awi Suryadi
The Wedding & Bebek Betutu,2015,Hilman Mutasi
A Copy of My Mind,2015,Joko Anwar
Lily Bunga Terakhirku,2015,Indra Birowo
Cinta Selamanya,2015,Fajar Nugros
Comic 8: Casino Kings Part 1,2015,Anggy Umbara
The Heaven None Missed,2015,Kuntz Agus
Cai Lan Gong,2015,David Purnomo
Single,2015,Raditya Dika
Bulan Terbelah di Langit Amerika,2015,Rizal Mantovani
"3: Alif, Lam, Mim",2015,Anggy Umbara
Misterius,2015,Muhammad Yusuf
Segi3Hati,2015,Adi Wijananda
#66,2015,Asun Mawardi
Nay,2015,Djenar Maesa Ayu
SkakMat,2015,Ody C. Harahap
Cakra Buana,2015,Massimo Burhanuddin
Jendral Soedirman,2015,Viva Westi
Sunshine Becomes You,2015,Rocky Soraya
Epen Cupen the Movie,2015,Irham Acho Bahtiar
Rock N Love,2015,Hedy Suryawan
Nada Untuk Asa,2015,Charles Gozali
Melancholy Is A Movement,2015,Richard Oh
About A Woman,2015,Teddy Soeriaatmadja
Turis Romantis,2015,Senoaji Julius
Ayat-Ayat Adinda,2015,Hestu Saputra
Hijab,2015,Hanung Bramantyo
Ngenest,2015,Ernest Prakasa
Heart Beat,2015,Hadrah Daeng Ratu
Toba Dreams,2015,Benni Setiawan
Gangster,2015,Fajar Nugros
Magic Hour,2015,Asep Kusdinar
Love You... Love You Not,2015,Sridhar Jetty
Behind 98,2015,Lukman Sardi
Kakak,2015,Ivander Tedjasukmana
CJR the Movie: Lawan Rasa Takutmu,2015,Patrick Effendy
Black Honeymoon,2015,Hengky Kurniawan Chova
Warisan Olga,2015,Raymond Handaya
Ada Surga di Rumahmu,2015,Aditya Gumay
Garuda Superhero,2015,X. Jo
Romeo + Rinjani,2015,Fajar Bustomi
Tausiyah Cinta,2016,Humar Hadi
Romansa: Gending Cinta di Tanah Turki,2016,Bambang Drias
Juara,2016,Charles Gozali
Jilbab Traveler: Love Sparks in Korea,2016,Guntur Soeharjanto
Wa'alaikumussalam Paris,2016,Benni Setiawan
Hantu Cantik Kok Ngompol,2016,Emil G. Hampp
Dilarang Masuk!,2016,Nayato Fio Nuala
London Love Story,2016,Asep Kusdinar
Komedi Gokil 2,2016,Cuk Fk
Dreams,2016,Guntur Soeharjanto
Melbourne Rewind,2016,Danial Rifki
Ada Cinta Di SMA,2016,Patrick Effendy
#Modus,2016,Fajar Bustomi
Sawadikap,2016,Andreas Sullivan
Rumah Pasung,2016,Nayato Fio Nuala
Raksasa Dari Jogja,2016,Monty Tiwa
Surat Untukmu,2016,Harris Nizam
Untuk Angeline,2016,Jito Banyu
Cahaya Cinta Pesantren,2016,Raymond Handaya
Midnight Show,2016,Ginanti Rona Tembang Sari
Adrenaline,2016,Dwi Ilalang
Flutter Echoes and Notes Concerning Nature,2016,Amir Pohan
My Journey: Mencari Mata Air,2016,Joko Nugroho
Comic 8: Casino Kings Part 2,2016,Anggy Umbara
Stay with Me,2016,Rudy Soedjarwo
Headshot,2016,Kimo Stamboel
Super Didi,2016,Hadrah Daeng Ratu
Iseng,2016,Adrian Tang
Talak 3,2016,Ismail Basbeth
My Stupid Boss,2016,Upi Avianto
The Window,2016,Nurman Hakim
Algojo: Perang Santet,2016,Rudy Soedjarwo
Sabtu Bersama Bapak,2016,Monty Tiwa
Kurung Manuk (Bird Cage),2016,Sigit Pradityo
Ketika Mas Gagah Pergi the Movie,2016,Firman Syah
Sundul Gan: The Story of Kaskus,2016,Naya Anindita
Indera ke Enam,2016,Wisnu Kuncoro
What's Up with Cinta 2,2016,Riri Riza
Triangle the Dark Side,2016,Deddy Corbuzier
Jagoan Instan,2016,Fajar Bustomi
The Professionals,2016,Affandi Abdul Rachman
The Postman and Kartini,2016,Azhar Kinoi Lubis
Koala Kumal,2016,Raditya Dika
Firegate,2016,Rizal Mantovani
Uang Panai' Maha(r)l,2016,Halim Gani Safia Asril Sani
Rudy Habibie,2016,Hanung Bramantyo
